"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","12-Oct-2015","       2629.65","       2655.00","       2660.35","       2587.00","       2597.70","       2592.60","       2612.17","    1227956","          3207625454.35","      84883","     675044","         54.97"
"TCS","EQ","13-Oct-2015","       2592.60","       2602.80","       2612.00","       2567.60","       2586.85","       2598.55","       2589.61","    3089856","          8001535877.60","     129714","    1303446","         42.18"
"TCS","EQ","14-Oct-2015","       2598.55","       2548.00","       2548.00","       2480.00","       2480.90","       2483.70","       2502.59","    4168564","         10432220480.30","     175646","    2297432","         55.11"
"TCS","EQ","15-Oct-2015","       2483.70","       2490.00","       2503.50","       2465.00","       2468.80","       2467.75","       2478.15","    1607855","          3984511866.85","     107563","    1101822","         68.53"
"TCS","EQ","16-Oct-2015","       2467.75","       2480.90","       2492.00","       2470.00","       2472.00","       2473.75","       2477.86","    1166914","          2891451710.10","      68190","     791055","         67.79"
"TCS","EQ","19-Oct-2015","       2473.75","       2490.00","       2494.95","       2455.85","       2493.95","       2488.75","       2473.90","    1565321","          3872449831.10","      55224","    1047364","         66.91"
"TCS","EQ","20-Oct-2015","       2488.75","       2496.25","       2530.00","       2495.60","       2523.20","       2526.75","       2520.95","    1347542","          3397089855.45","      60572","     942992","         69.98"
"TCS","EQ","21-Oct-2015","       2526.75","       2535.00","       2542.00","       2522.25","       2526.00","       2530.00","       2532.48","     964844","          2443449158.55","      80004","     691629","         71.68"
"TCS","EQ","23-Oct-2015","       2530.00","       2548.00","       2548.00","       2527.30","       2536.95","       2537.15","       2534.65","    1167699","          2959713465.90","      39962","     862305","         73.85"
"TCS","EQ","26-Oct-2015","       2537.15","       2549.00","       2549.00","       2515.10","       2540.00","       2536.55","       2530.16","     707315","          1789621755.30","      58521","     469883","         66.43"
"TCS","EQ","27-Oct-2015","       2536.55","       2530.05","       2544.90","       2520.35","       2528.90","       2531.10","       2531.42","     765210","          1937067442.75","      47064","     541265","         70.73"
"TCS","EQ","28-Oct-2015","       2531.10","       2510.05","       2533.55","       2510.05","       2528.00","       2529.10","       2524.11","     627671","          1584311787.80","      43535","     444506","         70.82"
"TCS","EQ","29-Oct-2015","       2529.10","       2533.55","       2535.40","       2490.05","       2496.00","       2495.35","       2500.06","    1565158","          3912986455.60","      61541","    1065888","         68.10"
"TCS","EQ","30-Oct-2015","       2495.35","       2500.00","       2511.90","       2485.00","       2500.00","       2495.20","       2495.93","     758348","          1892786967.45","      41071","     519557","         68.51"
"TCS","EQ","02-Nov-2015","       2495.20","       2500.00","       2522.80","       2487.55","       2518.00","       2517.35","       2507.96","     659647","          1654368762.90","      48056","     480522","         72.85"
"TCS","EQ","03-Nov-2015","       2517.35","       2528.00","       2547.80","       2518.50","       2538.85","       2543.45","       2536.88","     682453","          1731302984.55","      39895","     502388","         73.62"
"TCS","EQ","04-Nov-2015","       2543.45","       2545.00","       2547.20","       2520.00","       2526.75","       2533.80","       2532.27","     495717","          1255289591.10","      41282","     284406","         57.37"
"TCS","EQ","05-Nov-2015","       2533.80","       2530.80","       2534.95","       2480.00","       2485.00","       2482.65","       2496.94","     798049","          1992676741.45","      38722","     556372","         69.72"
"TCS","EQ","06-Nov-2015","       2482.65","       2492.00","       2518.25","       2483.45","       2505.20","       2505.75","       2507.54","     454012","          1138452606.05","      26028","     298424","         65.73"
"TCS","EQ","09-Nov-2015","       2505.75","       2495.00","       2502.75","       2468.60","       2474.00","       2471.35","       2477.88","    1010778","          2504589508.50","      42927","     819330","         81.06"
"TCS","EQ","10-Nov-2015","       2471.35","       2472.95","       2477.00","       2450.00","       2455.00","       2458.15","       2463.30","     680960","          1677407795.95","      53282","     479205","         70.37"
"TCS","EQ","11-Nov-2015","       2458.15","       2475.00","       2475.00","       2450.00","       2472.00","       2468.80","       2467.45","      67582","           166754977.55","       5197","      34003","         50.31"
"TCS","EQ","13-Nov-2015","       2468.80","       2438.05","       2438.05","       2386.55","       2396.00","       2397.40","       2405.31","    1371616","          3299155303.45","      77174","     958618","         69.89"
"TCS","EQ","16-Nov-2015","       2397.40","       2390.00","       2390.00","       2356.00","       2376.00","       2374.60","       2371.62","    1021764","          2423237597.10","      67518","     701532","         68.66"
"TCS","EQ","17-Nov-2015","       2374.60","       2380.50","       2398.45","       2375.00","       2390.00","       2390.55","       2385.85","     992514","          2367989027.85","      58593","     755518","         76.12"
"TCS","EQ","18-Nov-2015","       2390.55","       2388.90","       2388.90","       2346.00","       2349.65","       2351.45","       2358.29","     760176","          1792717016.00","      43678","     506662","         66.65"
"TCS","EQ","19-Nov-2015","       2351.45","       2365.35","       2381.60","       2352.00","       2367.00","       2362.55","       2366.14","     933453","          2208680749.55","      55764","     632570","         67.77"
"TCS","EQ","20-Nov-2015","       2362.55","       2366.50","       2423.55","       2361.95","       2394.50","       2398.35","       2403.22","    1006063","          2417790418.40","      60130","     575994","         57.25"
"TCS","EQ","23-Nov-2015","       2398.35","       2405.30","       2413.40","       2382.25","       2389.30","       2391.05","       2397.62","     544041","          1304405391.85","      42359","     351815","         64.67"
"TCS","EQ","24-Nov-2015","       2391.05","       2380.05","       2392.45","       2365.50","       2366.00","       2367.95","       2378.62","     499320","          1187694596.10","      35776","     342427","         68.58"
"TCS","EQ","26-Nov-2015","       2367.95","       2377.90","       2382.40","       2337.85","       2346.00","       2345.55","       2355.52","    1457646","          3433508896.10","      77452","     969589","         66.52"
"TCS","EQ","27-Nov-2015","       2345.55","       2348.00","       2359.45","       2332.50","       2354.95","       2353.35","       2348.70","     868603","          2040086163.75","      62719","     518858","         59.73"
"TCS","EQ","30-Nov-2015","       2353.35","       2365.00","       2391.25","       2350.15","       2373.55","       2364.70","       2365.21","    2050024","          4848744782.20","      85439","    1102521","         53.78"
"TCS","EQ","01-Dec-2015","       2364.70","       2362.90","       2378.05","       2357.05","       2359.75","       2361.90","       2363.85","     860997","          2035267110.00","      51511","     672976","         78.16"
"TCS","EQ","02-Dec-2015","       2361.90","       2378.00","       2378.10","       2346.50","       2367.00","       2365.20","       2362.86","     820148","          1937896039.75","      38694","     580713","         70.81"
"TCS","EQ","03-Dec-2015","       2365.20","       2360.00","       2373.00","       2347.00","       2350.00","       2350.75","       2356.59","    1141679","          2690467598.75","      41715","     765969","         67.09"
"TCS","EQ","04-Dec-2015","       2350.75","       2340.00","       2347.30","       2321.10","       2330.00","       2328.40","       2330.08","     623046","          1451747348.45","      32999","     426970","         68.53"
"TCS","EQ","07-Dec-2015","       2328.40","       2332.20","       2343.90","       2315.25","       2321.00","       2319.80","       2322.27","     691302","          1605390412.10","      52150","     487587","         70.53"
"TCS","EQ","08-Dec-2015","       2319.80","       2319.40","       2349.00","       2317.30","       2326.25","       2329.00","       2332.95","     569982","          1329739195.55","      47957","     336913","         59.11"
"TCS","EQ","09-Dec-2015","       2329.00","       2337.90","       2372.80","       2320.00","       2370.00","       2367.65","       2361.23","    2641403","          6236953830.25","      59592","    1365071","         51.68"
"TCS","EQ","10-Dec-2015","       2367.65","       2369.00","       2391.20","       2352.00","       2380.95","       2384.55","       2374.82","     861994","          2047084266.50","      52429","     556996","         64.62"
"TCS","EQ","11-Dec-2015","       2384.55","       2383.00","       2391.95","       2363.25","       2383.15","       2386.00","       2384.13","     826189","          1969745818.20","      53651","     598804","         72.48"
"TCS","EQ","14-Dec-2015","       2386.00","       2335.20","       2387.00","       2330.60","       2375.00","       2378.45","       2364.84","    1359266","          3214443353.75","      58637","     758806","         55.82"
"TCS","EQ","15-Dec-2015","       2378.45","       2378.45","       2385.00","       2363.05","       2379.50","       2375.85","       2375.03","     567934","          1348859151.30","      52585","     421587","         74.23"
"TCS","EQ","16-Dec-2015","       2375.85","       2384.00","       2414.50","       2384.00","       2407.50","       2408.40","       2402.07","     717967","          1724609355.80","      48074","     494205","         68.83"
"TCS","EQ","17-Dec-2015","       2408.40","       2415.00","       2445.00","       2393.35","       2434.10","       2439.75","       2418.57","     809422","          1957647078.25","      46818","     569320","         70.34"
"TCS","EQ","18-Dec-2015","       2439.75","       2420.00","       2434.20","       2400.65","       2409.80","       2416.80","       2416.02","    1512485","          3654197886.25","      47644","    1052042","         69.56"
"TCS","EQ","21-Dec-2015","       2416.80","       2419.95","       2450.00","       2406.85","       2443.00","       2446.40","       2428.40","     805052","          1954988970.35","      41004","     425890","         52.90"
"TCS","EQ","22-Dec-2015","       2446.40","       2440.00","       2440.00","       2400.00","       2407.00","       2405.05","       2413.33","     780429","          1883430362.60","      30995","     476137","         61.01"
"TCS","EQ","23-Dec-2015","       2405.05","       2415.00","       2435.00","       2410.55","       2418.80","       2425.80","       2425.06","     424917","          1030449350.60","      31057","     253475","         59.65"
"TCS","EQ","24-Dec-2015","       2425.80","       2421.00","       2438.20","       2404.00","       2435.00","       2434.25","       2424.03","     421580","          1021924014.25","      21932","     188670","         44.75"
"TCS","EQ","28-Dec-2015","       2434.25","       2428.00","       2466.40","       2420.20","       2456.95","       2462.70","       2455.00","    1852099","          4546895664.00","      43390","    1060100","         57.24"
"TCS","EQ","29-Dec-2015","       2462.70","       2458.35","       2465.30","       2445.75","       2449.35","       2455.80","       2452.26","     854262","          2094875086.50","      26975","     433986","         50.80"
"TCS","EQ","30-Dec-2015","       2455.80","       2453.05","       2459.00","       2412.30","       2421.70","       2418.30","       2442.06","     802881","          1960681996.90","      49464","     632180","         78.74"
"TCS","EQ","31-Dec-2015","       2418.30","       2415.75","       2448.50","       2407.50","       2430.00","       2436.85","       2428.90","     620159","          1506302587.20","      42600","     400391","         64.56"
"TCS","EQ","01-Jan-2016","       2436.85","       2439.00","       2439.00","       2412.25","       2414.10","       2416.40","       2423.73","     356131","           863164899.20","      15545","     246115","         69.11"
"TCS","EQ","04-Jan-2016","       2416.40","       2410.15","       2414.00","       2366.05","       2373.00","       2369.60","       2381.76","     935092","          2227161314.65","      72341","     615009","         65.77"
"TCS","EQ","05-Jan-2016","       2369.60","       2385.00","       2386.60","       2341.00","       2349.85","       2348.95","       2353.54","    1339010","          3151408770.30","      97799","    1037513","         77.48"
"TCS","EQ","06-Jan-2016","       2348.95","       2350.20","       2386.15","       2350.20","       2382.00","       2381.60","       2374.18","    1326614","          3149626909.40","      43208","     852411","         64.25"
"TCS","EQ","07-Jan-2016","       2381.60","       2370.00","       2382.90","       2360.00","       2379.00","       2371.25","       2367.71","    1599790","          3787836766.95","      29836","     877850","         54.87"
"TCS","EQ","08-Jan-2016","       2371.25","       2385.00","       2407.35","       2372.50","       2400.80","       2397.60","       2396.08","     953772","          2285313566.60","      29435","     596208","         62.51"
"TCS","EQ","11-Jan-2016","       2397.60","       2382.50","       2384.00","       2348.85","       2362.80","       2362.35","       2361.63","    1465114","          3460058884.10","      52084","     927856","         63.33"
"TCS","EQ","12-Jan-2016","       2362.35","       2362.70","       2365.00","       2301.60","       2317.00","       2327.05","       2325.68","    1741297","          4049698909.45","      78442","    1022719","         58.73"
"TCS","EQ","13-Jan-2016","       2327.05","       2317.00","       2327.00","       2255.10","       2280.00","       2279.20","       2283.97","    2373046","          5419974451.55","     110813","    1008246","         42.49"
"TCS","EQ","14-Jan-2016","       2279.20","       2273.00","       2298.90","       2250.00","       2280.05","       2278.80","       2280.21","    1371026","          3126231079.50","      68867","     841660","         61.39"
"TCS","EQ","15-Jan-2016","       2278.80","       2288.85","       2291.70","       2255.00","       2265.25","       2261.10","       2267.74","    1634704","          3707078050.30","      59507","    1305490","         79.86"
"TCS","EQ","18-Jan-2016","       2261.10","       2262.00","       2291.90","       2260.00","       2280.00","       2277.65","       2281.48","    1106961","          2525514822.00","      36247","     824382","         74.47"
"TCS","EQ","19-Jan-2016","       2277.65","       2277.00","       2300.00","       2268.30","       2288.00","       2279.30","       2277.26","     483955","          1102090046.45","      37877","     314006","         64.88"
"TCS","EQ","20-Jan-2016","       2279.30","       2273.80","       2285.00","       2243.00","       2280.00","       2280.10","       2268.32","     807977","          1832751651.50","      47824","     573668","         71.00"
"TCS","EQ","21-Jan-2016","       2280.10","       2285.00","       2289.90","       2245.75","       2258.00","       2254.50","       2258.77","    1337768","          3021715595.60","      48506","     988982","         73.93"
"TCS","EQ","22-Jan-2016","       2254.50","       2273.00","       2302.05","       2260.00","       2290.00","       2295.75","       2290.27","     671589","          1538122117.00","      65671","     490657","         73.06"
"TCS","EQ","25-Jan-2016","       2295.75","       2301.90","       2339.00","       2291.50","       2301.70","       2304.65","       2317.64","     698780","          1619518169.25","      63300","     479449","         68.61"
"TCS","EQ","27-Jan-2016","       2304.65","       2302.00","       2329.95","       2281.90","       2317.00","       2319.75","       2316.74","     813493","          1884648891.50","      37894","     583494","         71.73"
"TCS","EQ","28-Jan-2016","       2319.75","       2315.50","       2348.90","       2308.05","       2345.00","       2331.20","       2334.21","    1553330","          3625794748.85","      52219","    1005471","         64.73"
"TCS","EQ","29-Jan-2016","       2331.20","       2358.70","       2400.00","       2335.05","       2386.10","       2391.30","       2372.42","    1117872","          2652057899.65","      51641","     842301","         75.35"
"TCS","EQ","01-Feb-2016","       2391.30","       2391.10","       2412.95","       2359.00","       2395.35","       2402.70","       2402.94","     747637","          1796523763.20","      65836","     542493","         72.56"
"TCS","EQ","02-Feb-2016","       2402.70","       2409.00","       2433.00","       2379.70","       2382.00","       2398.10","       2415.55","     737794","          1782175428.50","      50764","     460781","         62.45"
"TCS","EQ","03-Feb-2016","       2398.10","       2387.50","       2429.90","       2360.30","       2424.80","       2416.30","       2402.39","     654346","          1571995829.55","      35587","     443404","         67.76"
"TCS","EQ","04-Feb-2016","       2416.30","       2421.90","       2440.00","       2402.00","       2423.00","       2420.05","       2419.99","     625023","          1512552462.75","      42532","     370318","         59.25"
"TCS","EQ","05-Feb-2016","       2420.05","       2408.10","       2439.95","       2408.10","       2424.00","       2421.95","       2425.99","     701498","          1701826384.10","      80411","     454027","         64.72"
"TCS","EQ","08-Feb-2016","       2421.95","       2400.00","       2412.05","       2347.00","       2354.30","       2362.95","       2385.01","     531829","          1268416646.80","      29355","     333965","         62.80"
"TCS","EQ","09-Feb-2016","       2362.95","       2333.60","       2333.60","       2255.60","       2280.70","       2281.40","       2276.64","    1244805","          2833977865.55","      74469","     719530","         57.80"
"TCS","EQ","10-Feb-2016","       2281.40","       2275.00","       2289.90","       2258.10","       2283.00","       2268.80","       2271.48","     945366","          2147378289.90","      65549","     604389","         63.93"
"TCS","EQ","11-Feb-2016","       2268.80","       2280.00","       2289.00","       2171.65","       2179.35","       2197.95","       2231.27","     981204","          2189332214.90","      73416","     582430","         59.36"
"TCS","EQ","12-Feb-2016","       2197.95","       2200.00","       2243.40","       2164.00","       2226.30","       2226.60","       2214.47","    1086284","          2405540712.65","      85740","     632825","         58.26"
"TCS","EQ","15-Feb-2016","       2226.60","       2250.00","       2306.85","       2240.00","       2262.00","       2269.15","       2278.07","    1239856","          2824480330.05","      62877","     886727","         71.52"
"TCS","EQ","16-Feb-2016","       2269.15","       2266.00","       2282.00","       2243.00","       2262.50","       2265.55","       2260.28","     794351","          1795456148.95","      40886","     499672","         62.90"
"TCS","EQ","17-Feb-2016","       2265.55","       2265.00","       2279.65","       2246.40","       2279.65","       2275.55","       2265.30","     792589","          1795454857.90","      36080","     567844","         71.64"
"TCS","EQ","18-Feb-2016","       2275.55","       2285.00","       2319.75","       2278.00","       2312.10","       2315.85","       2301.08","     764570","          1759338646.95","      31762","     569449","         74.48"
"TCS","EQ","19-Feb-2016","       2315.85","       2307.35","       2327.00","       2305.45","       2314.90","       2319.65","       2317.45","     439506","          1018533549.05","      60217","     303871","         69.14"
"TCS","EQ","22-Feb-2016","       2319.65","       2320.25","       2343.00","       2305.00","       2325.00","       2315.90","       2330.06","     662442","          1543532713.85","      49580","     413311","         62.39"
"TCS","EQ","23-Feb-2016","       2315.90","       2310.25","       2319.90","       2256.75","       2258.10","       2264.00","       2277.26","     653426","          1488024069.40","      42218","     445387","         68.16"
"TCS","EQ","24-Feb-2016","       2264.00","       2262.45","       2262.45","       2201.20","       2216.00","       2210.95","       2230.36","     829664","          1850451615.05","      38290","     574352","         69.23"
"TCS","EQ","25-Feb-2016","       2210.95","       2219.80","       2228.00","       2185.65","       2224.20","       2212.85","       2204.85","     915278","          2018048988.10","      45678","     673667","         73.60"
"TCS","EQ","26-Feb-2016","       2212.85","       2229.70","       2256.90","       2199.60","       2219.90","       2210.50","       2218.03","     768768","          1705153693.50","      37353","     521706","         67.86"
"TCS","EQ","29-Feb-2016","       2210.50","       2237.00","       2237.00","       2115.00","       2172.00","       2176.80","       2184.95","    1095859","          2394398681.65","      47672","     679639","         62.02"
"TCS","EQ","01-Mar-2016","       2176.80","       2193.00","       2285.10","       2162.00","       2281.00","       2276.65","       2257.79","     999880","          2257516902.50","      50318","     643213","         64.33"
"TCS","EQ","02-Mar-2016","       2276.65","       2305.00","       2330.00","       2256.25","       2320.10","       2318.85","       2288.84","     763743","          1748081932.10","      42118","     438079","         57.36"
"TCS","EQ","03-Mar-2016","       2318.85","       2336.00","       2391.00","       2301.00","       2369.40","       2373.15","       2356.33","    1324142","          3120109870.55","      61441","     797518","         60.23"
"TCS","EQ","04-Mar-2016","       2373.15","       2380.00","       2380.00","       2349.55","       2369.85","       2357.55","       2362.52","     756483","          1787209075.40","      32716","     419647","         55.47"
"TCS","EQ","08-Mar-2016","       2357.55","       2342.10","       2367.00","       2304.20","       2351.00","       2354.30","       2342.85","     634076","          1485546744.90","      33078","     350804","         55.33"
"TCS","EQ","09-Mar-2016","       2354.30","       2341.00","       2369.40","       2295.15","       2360.00","       2357.25","       2326.68","    1008892","          2347365913.20","      45459","     607451","         60.21"
"TCS","EQ","10-Mar-2016","       2357.25","       2356.05","       2359.85","       2314.95","       2347.00","       2348.30","       2329.26","     830833","          1935228919.75","      47391","     514311","         61.90"
"TCS","EQ","11-Mar-2016","       2348.30","       2340.00","       2390.85","       2335.00","       2360.00","       2365.25","       2369.33","     765264","          1813160612.10","      60976","     381295","         49.83"
"TCS","EQ","14-Mar-2016","       2365.25","       2362.00","       2398.00","       2340.00","       2346.10","       2355.00","       2361.38","     818371","          1932483561.60","      50401","     532800","         65.10"
"TCS","EQ","15-Mar-2016","       2355.00","       2349.05","       2363.50","       2320.10","       2330.25","       2329.90","       2333.27","     811678","          1893864662.90","      34040","     519577","         64.01"
"TCS","EQ","16-Mar-2016","       2329.90","       2315.00","       2332.00","       2306.90","       2323.55","       2327.05","       2320.16","     959123","          2225314511.30","      47662","     648450","         67.61"
"TCS","EQ","17-Mar-2016","       2327.05","       2334.00","       2361.80","       2332.00","       2349.00","       2352.05","       2347.85","    1110544","          2607391322.65","      51558","     820690","         73.90"
"TCS","EQ","18-Mar-2016","       2352.05","       2360.00","       2430.00","       2360.00","       2421.40","       2425.85","       2408.60","    1602035","          3858668680.50","     102942","    1152246","         71.92"
"TCS","EQ","21-Mar-2016","       2425.85","       2426.00","       2454.95","       2420.00","       2449.05","       2446.25","       2434.69","    1168491","          2844918942.20","      68915","     855867","         73.25"
"TCS","EQ","22-Mar-2016","       2446.25","       2442.00","       2485.00","       2436.50","       2470.65","       2473.10","       2456.21","     975992","          2397240026.25","      63517","     541794","         55.51"
"TCS","EQ","23-Mar-2016","       2473.10","       2487.90","       2487.90","       2457.30","       2479.60","       2473.80","       2473.02","    1139217","          2817311940.50","      55908","     698388","         61.30"
"TCS","EQ","28-Mar-2016","       2473.80","       2491.00","       2517.15","       2461.55","       2476.00","       2473.40","       2478.01","    1660441","          4114582547.10","      82490","    1133446","         68.26"
"TCS","EQ","29-Mar-2016","       2473.40","       2478.00","       2486.95","       2455.00","       2462.40","       2469.40","       2472.49","     919398","          2273205293.65","      32196","     650064","         70.71"
"TCS","EQ","30-Mar-2016","       2469.40","       2470.90","       2505.00","       2460.00","       2490.00","       2489.50","       2490.18","    1068252","          2660138879.55","      66443","     840002","         78.63"
"TCS","EQ","31-Mar-2016","       2489.50","       2478.30","       2550.00","       2472.15","       2530.00","       2520.30","       2510.45","    2181982","          5477752815.80","      76600","    1371053","         62.84"
"TCS","EQ","01-Apr-2016","       2520.30","       2505.00","       2520.85","       2434.10","       2458.00","       2453.90","       2467.96","    1520700","          3753029123.65","      86567","     990990","         65.17"
"TCS","EQ","04-Apr-2016","       2453.90","       2456.00","       2488.00","       2447.00","       2476.40","       2471.25","       2462.56","     876176","          2157634013.40","      56839","     541245","         61.77"
"TCS","EQ","05-Apr-2016","       2471.25","       2470.80","       2484.90","       2442.05","       2460.00","       2462.75","       2459.72","     745897","          1834699992.80","      39144","     438819","         58.83"
"TCS","EQ","06-Apr-2016","       2462.75","       2470.00","       2489.00","       2459.35","       2481.00","       2481.90","       2477.67","     881575","          2184255309.75","      48213","     578096","         65.58"
"TCS","EQ","07-Apr-2016","       2481.90","       2480.00","       2484.70","       2457.00","       2466.25","       2470.80","       2470.69","    1195471","          2953639685.55","      50556","     893942","         74.78"
"TCS","EQ","08-Apr-2016","       2470.80","       2466.00","       2473.70","       2427.00","       2432.00","       2432.05","       2438.52","     699750","          1706355354.15","      51781","     462455","         66.09"
"TCS","EQ","11-Apr-2016","       2432.05","       2433.00","       2517.00","       2413.00","       2506.05","       2506.65","       2456.71","    1200324","          2948846493.40","      56962","     804709","         67.04"
"TCS","EQ","12-Apr-2016","       2506.65","       2498.00","       2525.00","       2488.10","       2520.05","       2518.15","       2502.73","     651814","          1631314698.85","      41843","     379191","         58.17"
"TCS","EQ","13-Apr-2016","       2518.15","       2530.00","       2545.00","       2512.50","       2528.00","       2526.20","       2524.85","     800734","          2021736752.75","      51204","     497799","         62.17"
"TCS","EQ","18-Apr-2016","       2526.20","       2453.00","       2553.50","       2440.00","       2522.40","       2519.75","       2495.75","    3560752","          8886759956.75","     185897","    1683724","         47.29"
"TCS","EQ","20-Apr-2016","       2519.75","       2534.90","       2534.90","       2440.00","       2453.00","       2450.35","       2472.11","    3202512","          7916958058.35","     118381","    1605452","         50.13"
"TCS","EQ","21-Apr-2016","       2450.35","       2451.00","       2467.40","       2412.20","       2418.20","       2424.40","       2440.23","    1262862","          3081673106.25","      64118","     668774","         52.96"
"TCS","EQ","22-Apr-2016","       2424.40","       2419.00","       2435.40","       2404.20","       2423.40","       2417.05","       2420.24","     982063","          2376831048.35","      54414","     558188","         56.84"
"TCS","EQ","25-Apr-2016","       2417.05","       2402.30","       2457.05","       2402.30","       2453.00","       2451.25","       2441.63","    1133827","          2768388615.85","      56820","     760631","         67.09"
"TCS","EQ","26-Apr-2016","       2451.25","       2449.00","       2493.50","       2442.00","       2488.00","       2489.80","       2473.61","    1277184","          3159254631.30","      76806","     850243","         66.57"
"TCS","EQ","27-Apr-2016","       2489.80","       2480.00","       2514.60","       2475.90","       2511.50","       2511.10","       2502.32","     924335","          2312980759.75","      58165","     644463","         69.72"
"TCS","EQ","28-Apr-2016","       2511.10","       2501.30","       2540.00","       2498.10","       2527.00","       2527.75","       2526.07","    2496372","          6306021297.40","      93432","    1837651","         73.61"
"TCS","EQ","29-Apr-2016","       2527.75","       2517.00","       2542.00","       2510.00","       2540.10","       2535.50","       2529.22","    1186089","          2999874438.90","      78355","     815255","         68.73"
"TCS","EQ","02-May-2016","       2535.50","       2529.00","       2530.00","       2500.00","       2525.10","       2526.70","       2516.27","     558346","          1404946984.40","      33410","     336693","         60.30"
"TCS","EQ","03-May-2016","       2526.70","       2525.00","       2530.00","       2472.00","       2473.90","       2478.10","       2496.18","    1076559","          2687283771.80","      46517","     674261","         62.63"
"TCS","EQ","04-May-2016","       2478.10","       2473.90","       2494.05","       2457.00","       2478.00","       2478.00","       2472.40","     682446","          1687276873.00","      32957","     434174","         63.62"
"TCS","EQ","05-May-2016","       2478.00","       2478.00","       2489.95","       2463.55","       2469.30","       2470.30","       2472.47","     623283","          1541048678.15","      34994","     393436","         63.12"
